province,2012,2013,2014,2015,2016
Chiang Mai,7.4,7.634386541,7.787765293,8.49817159,8.148179708
Chiang Rai,6.63,6.351732991,6.411344538,6.620432539,6.519792197
Phetchaburi,8.15,8.372823618,8.274666667,8.33306305,8.237965445
Phetchabun,7.23,7.640186916,7.24702381,7.267194395,7.375108573
Loei,7.18,7.028439662,7.16552281,7.162890872,7.067753583
Phrae,7.57,7.682456845,7.771233974,7.778354393,7.840003552
Mae Hong Son,5.97,6.18389753,6.342973339,5.833070479,5.80583067
Krabi,8.7,9.100574713,9.034123223,8.283113166,8.255993198
Bangkok,10.82,11.04835401,11.01637506,11.1,11.03147055
Kanchanaburi,7.3,6.987357259,7.152528548,7.627376579,7.453108472
Kalasin,7.33,6.768443893,6.419207317,7.759775923,7.785234677
Kamphaeng Phet,7.35,7.10796794,6.861356932,6.760339487,6.876139986
Khon Kaen,7.48,7.640472313,7.976724138,8.161216638,8.148892148
Chanthaburi,7.32,7.51511335,7.596091205,7.748604566,7.928056362
Chachoengsao,8.74,8.253506494,8.428932726,8.22926135,8.367062137
Chon Buri,9.44,9.319955817,9.300435414,9.554255762,9.167458936
Chai Nat,7.19,7.098153985,7.465587045,7.577666302,7.433026223
Chaiyaphum,7.19,7.199596774,7.727457352,7.454952325,7.390621807
Chumphon,7.89,7.798440066,7.816606207,8.038760474,8.233632654
Trang,8.88,8.628166915,8.863330844,7.926311625,8.079738837
Trat,7.16,7.158254919,7.347465035,7.710225084,7.96707594
Tak,6.54,6.649585163,6.682844786,6.531234051,6.605548649
Nakhon Nayok,8.6,8.638736842,8.622764937,8.187330539,8.397230079
Nakhon Pathom,9.08,8.733022071,8.696,8.097169182,8.374186304
Nakhon Phanom,7.88,7.595973154,8.055504587,7.69078303,7.718435264
Nakhon Ratchasima,7.96,7.88336784,8.137557452,7.593930244,7.904269957
Nakhon Si Thammarat,8.44,8.634708738,8.525039746,8.406601178,8.654351397
Nakhon Sawan,7.63,7.957427938,7.821841542,7.46283558,7.484749937
Nonthaburi,10.75,11.02922756,11.27398684,10.85651516,10.9993413
Narathiwat,7,7.34487235,7.941819773,7.351683077,7.274600628
Nan,7.73,7.673664993,7.567070435,7.484967347,7.580035126
Bungkan,7.26,7.122137405,7.323529412,7.149026164,7.288121032
Buri Ram,7.03,7.102443206,7.062915374,7.203372552,7.167437494
Pathum Thani,10.08,9.875123885,9.876249405,10.36221698,10.13340386
Prachuap Khiri Khan,8.1,7.639392817,7.969264544,7.861741257,7.747756836
Prachin Buri,8.69,8.927835052,9.024022346,8.583324196,8.743273909
Pattani,7.54,7.919510061,8.09929391,7.731169482,8.052917102
Phra Nakhon Si Ayutthaya,8.74,8.155903457,8.897632312,9.114186907,9.525634634
Phayao,6.62,6.646566901,6.418742085,7.154126362,7.477556016
Phangnga,8.11,8.269170579,8.804535637,8.221734201,8.425501873
Phattalung,7.99,7.998304366,8.222035324,8.093221693,8.410785444
Phichit,7.45,7.506655217,7.378595601,7.212206612,7.257147526
Phitsanulok,8.42,8.590682949,8.524005487,8.217468827,8.210117187
Phuket,8.89,9.096100279,9.427152318,10.06701613,10.18837725
Maha Sarakham,8.66,8.716179159,8.439423077,7.83001453,7.896553122
Mukdahan,7.28,7.437011295,7.46705833,7.384271092,7.416434659
Yasothon,7.45,7.375634518,7.511914544,7.207442867,7.374527075
Yala,7.97,7.747299202,8.16040654,8.214864495,8.513774013
Roi Et,7.47,7.325802616,7.600306279,7.398798273,7.585712191
Ranong,7.01,7.566098572,7.366791745,7.545099913,7.534287075
Rayong,8.78,8.86,8.574940898,9.096673798,9.099543532
Ratchaburi,7.57,7.084229391,7.885900217,8.212435081,8.03463077
Lop Buri,8.32,8.354139575,8.21594533,8.183824609,8.09486911
Lampang,7.33,7.556701031,7.376276512,7.492911371,7.77079976
Lamphun,7.59,7.410311035,7.32299421,7.917628461,8.271144253
Si Sa Ket,7.46,7.774089069,7.988599349,7.21323496,7.160000823
Sakon Nakhon,7.23,7.31965812,7.155369718,7.20462629,7.181965666
Songkhla,9.02,9.116117851,9.144590005,9.358029151,9.053123074
Satun,8.31,8.231640979,8.265895954,8.440821671,8.597944516
Samut Prakan,9.52,9.205632306,9.444573418,9.966988243,10.00597671
Samut Songkhram,8.4,8.284,8.422451994,8.149999002,8.215259418
Samut Sakhon,6.75,7.215290807,7.438461538,7.34840751,7.935425862
Sa Kaeo,7.48,7.488955823,7.802731411,7.336419315,7.456390596
Saraburi,8.63,8.54308094,8.693849658,8.905458807,8.701237458
Sing Buri,8.66,8.401273885,8.480879541,8.616921559,9.076582349
Sukhothai,7.68,7.481481481,7.509221772,7.380140758,7.640606891
Suphan Buri,7.07,6.900437637,7.080686382,7.253771901,7.404700869
Surat Thani,7.96,7.8651496,8.251339102,8.439227616,8.302659825
Surin,7.47,7.645958084,7.857402692,7.011265234,7.033393213
Nong Khai,7.44,7.610562473,7.518377693,7.369519638,7.728447177
Nong Bua Lam Phu,6.79,6.900359066,6.958758315,7.014026098,7.256423195
Ang Thong,7.94,7.970996732,7.97208022,8.206788825,8.560847466
Amnat Charoen,7.59,7.454245283,7.340583063,7.405374362,7.782937703
Udon Thani,7.81,7.840402274,7.797074954,8.003996411,7.906506632
Uttaradit,7.59,7.784321373,7.9101346,8.001576371,8.022729443
Uthai Thani,7.36,7.016555125,7.502596054,7.06039388,7.121221144
Ubon Ratchathani,8.48,8.211313394,8.118381113,7.516801923,7.70596008
