Company,new_foreign_worker_count
"HTC GLOBAL SERVICES, INC.",128
RELIABLE SOFTWARE RESOURCES INC,114
HCL GLOBAL SYSTEMS INC.,103
HCL GLOBAL SYSTEMS INC,79
CSC COVANSYS CORPORATION,77
TECHNOSOFT CORPORATION,75
UNIVERSITY OF MICHIGAN,64
CW PROFESSIONAL SERVICES DBA LOCHBRIDGE,63
GENERAL MOTORS COMPANY,63
MIRACLE SOFTWARE SYSTEMS INC.,61
"ALTAIR PRODUCTDESIGN, INC.",61
SYNTEL INC.,55
"ENGINEERING TECHNOLOGY ASSOCIATES, INC.",50
HENRY FORD HEALTH SYSTEM,46
FCA US LLC,46
WHIRLPOOL CORPORATION,44
C-VISION INC,34
MICHIGAN STATE UNIVERSITY,31
TRW AUTOMOTIVE INC.,29
"SYSTEMS TECHNOLOGY GROUP, INC. (STG)",28
"CONTINENTAL AUTOMOTIVE SYSTEMS, INC.",26
SATYAM VENTURE ENGINEERING SERVICES,26
"SUNERA TECHNOLOGIES, INC",25
"Collasys, L.L.C.",25
"GEOMETRIC AMERICAS, INC.",24
CORPORATE COMPUTER SERVICES INC,22
"TRUSTED CARE AT HOME, INC.",20
"ALTAIR ENGINEERING, INC.",20
KYYBA INC,20
