year,Sri Lanka,Congo,Sudan,United States,Russia,Philippines,Algeria,Somalia,Yemen,India,Syria,Nigeria,Pakistan,Afghanistan,Iraq
2000,449,40,27,0,362,290,528,36,19,671,0,20,118,38,10
2001,194,15,13,3003,228,154,624,3,2,658,0,3,109,174,9
2002,3,16,588,4,512,125,615,6,4,593,0,28,105,74,10
2003,23,154,0,0,328,288,269,7,16,472,0,28,119,163,347
2004,30,22,28,0,607,206,166,6,0,334,4,41,304,275,2146
2005,125,22,54,0,156,49,228,20,12,462,0,19,150,367,3380
2006,1012,23,484,1,57,60,185,22,14,722,5,254,314,731,4612
2007,410,72,317,0,55,115,279,408,24,626,0,82,1406,1197,6648
2008,352,319,205,2,95,220,249,436,74,763,18,72,1184,1089,2863
2009,201,824,77,18,141,152,204,381,47,774,0,316,1487,1064,2583
2010,2,118,81,4,231,155,109,295,345,812,0,117,1695,1058,2071
2011,0,50,193,0,160,127,25,344,461,484,163,447,1655,1521,1864
2012,0,288,60,7,161,210,30,775,1056,264,876,1504,2783,3521,2688
2013,0,150,220,22,148,432,101,646,624,467,1558,2013,2874,3696,7038
2014,3,366,546,19,67,472,37,1581,1348,490,3300,7773,2412,5413,13075
2015,3,367,210,44,21,444,21,1389,2373,387,3916,5351,1606,6208,8831
